'+++++++++++++++++++++
Qualify
'+++++++++++++++++++++

Game:, "Assetto Corsa"
Session:, "Qualify"
Track:, "hockenheim_2018"
Pole, "McLarenTim(01:44.9640)"
Lasted laps, "6"
Host, "Unknown"



Qualify result
'======================
Pos,   Class, Team, Vehicle, Driver, Laps, Best lap, Gap
"1",   "", "", "ks_porsche_cayman_gt4_clubsport", "McLarenTim", "6", "01:44.9640", "-",
"2",   "", "", "ks_porsche_cayman_gt4_clubsport", "PhotonBurst", "6", "01:45.0720", "00:00.1080",
"3",   "", "", "ks_porsche_cayman_gt4_clubsport", "Electro", "5", "01:45.1380", "00:00.1740",
"4",   "", "", "ks_porsche_cayman_gt4_clubsport", "gunciz", "5", "01:45.3890", "00:00.4250",
"PhotonBurst", "ks_porsche_cayman_gt4_clubsport", "99.18%  0.8607",
"Salzeder", "ks_porsche_cayman_gt4_clubsport", "99.04%  1.018",
"Electro", "ks_porsche_cayman_gt4_clubsport", "98.48%  1.595",
"Echo51", "ks_porsche_cayman_gt4_clubsport", "97.81%  2.349",
"NotJames", "ks_porsche_cayman_gt4_clubsport", "92.70%  7.699",
"Trempale", "ks_porsche_cayman_gt4_clubsport", "-",
"Waffles", "ks_porsche_cayman_gt4_clubsport", "-",




Qualify sectors
'======================
'------------------------
Sector 1
'------------------------
Driver, Vehicle, Time, Gap,
"Electro", "ks_porsche_cayman_gt4_clubsport", "23.7410", "-"
"McLarenTim", "ks_porsche_cayman_gt4_clubsport", "23.8000", "0.0590"
"gunciz", "ks_porsche_cayman_gt4_clubsport", "23.8180", "0.0770"
"gman197002", "ks_porsche_cayman_gt4_clubsport", "23.8880", "0.1470"
"PhotonBurst", "ks_porsche_cayman_gt4_clubsport", "23.9680", "0.2270"
"NotJames", "ks_porsche_cayman_gt4_clubsport", "24.0270", "0.2860"
"MrGrinder", "ks_porsche_cayman_gt4_clubsport", "24.1130", "0.3720"
"Georgin", "ks_porsche_cayman_gt4_clubsport", "24.1270", "0.3860"
"Salzeder", "ks_porsche_cayman_gt4_clubsport", "24.1590", "0.4180"
"Echo51", "ks_porsche_cayman_gt4_clubsport", "24.2230", "0.4820"
"Crosdale", "ks_porsche_cayman_gt4_clubsport", "24.7830", "1.0420"
'------------------------
Sector 2
'------------------------
Driver, Vehicle, Time, Gap,
"PhotonBurst", "ks_porsche_cayman_gt4_clubsport", "48.0330", "-"
"McLarenTim", "ks_porsche_cayman_gt4_clubsport", "48.1230", "0.0900"
"gunciz", "ks_porsche_cayman_gt4_clubsport", "48.1270", "0.0940"
"Electro", "ks_porsche_cayman_gt4_clubsport", "48.1630", "0.1300"
"NotJames", "ks_porsche_cayman_gt4_clubsport", "48.2300", "0.1970"
"Georgin", "ks_porsche_cayman_gt4_clubsport", "48.3790", "0.3460"
"MrGrinder", "ks_porsche_cayman_gt4_clubsport", "48.3880", "0.3550"
"gman197002", "ks_porsche_cayman_gt4_clubsport", "48.5110", "0.4780"
"Salzeder", "ks_porsche_cayman_gt4_clubsport", "48.5280", "0.4950"
"Echo51", "ks_porsche_cayman_gt4_clubsport", "48.7440", "0.7110"
"Crosdale", "ks_porsche_cayman_gt4_clubsport", "48.8380", "0.8050"
'------------------------
Sector 3
'------------------------
Driver, Vehicle, Time, Gap,
"PhotonBurst", "ks_porsche_cayman_gt4_clubsport", "32.8370", "-"
"McLarenTim", "ks_porsche_cayman_gt4_clubsport", "32.8550", "0.0180"
"NotJames", "ks_porsche_cayman_gt4_clubsport", "33.0300", "0.1930"
"Electro", "ks_porsche_cayman_gt4_clubsport", "33.0760", "0.2390"
"Salzeder", "ks_porsche_cayman_gt4_clubsport", "33.3440", "0.5070"
"MrGrinder", "ks_porsche_cayman_gt4_clubsport", "33.4040", "0.5670"
"gman197002", "ks_porsche_cayman_gt4_clubsport", "33.4260", "0.5890"
"gunciz", "ks_porsche_cayman_gt4_clubsport", "33.4440", "0.6070"
"Georgin", "ks_porsche_cayman_gt4_clubsport", "33.5570", "0.7200"
"Echo51", "ks_porsche_cayman_gt4_clubsport", "33.7960", "0.9590"
"Crosdale", "ks_porsche_cayman_gt4_clubsport", "33.9980", "1.1610"


Qualify incidents worth reviewing
'======================
Date, Incident







'+++++++++++++++++++++
Race 1
'+++++++++++++++++++++

Game:, "Assetto Corsa"
Session:, "Race"
Track:, "hockenheim_2018"
Winner, "McLarenTim"
Led most laps, "McLarenTim"
Best lap, "McLarenTim (01:44.8870)"
Max laps, "13"
Lasted laps, "13"
Host, "Unknown"


Race 1 result
'======================
Pos,    Class, Team, Vehicle, Driver, Laps, Time/Retired, Best lap, Consistency, Led, Pits,
"1",  "", "", "ks_porsche_cayman_gt4_clubsport", "McLarenTim", "13", "    22:51.7150", "01:44.8870", "99.80%", "12", "0", 
"2",  "", "", "ks_porsche_cayman_gt4_clubsport", "Electro", "13", "  '+00:10.1670", "01:45.2940", "99.48%", "0", "0", 
