'+++++++++++++++++++++
Qualify
'+++++++++++++++++++++

Game:, "Assetto Corsa"
Session:, "Qualify"
Track:, "vir, north course_prc"
Pole, "NotJames(01:36.8420)"
Lasted laps, "9"
Host, "Unknown"



Qualify result
'======================
Pos,   Class, Team, Vehicle, Driver, Laps, Best lap, Gap
"1",   "", "", "ks_mazda_mx5_cup", "NotJames", "8", "01:36.8420", "-",
"2",   "", "", "ks_mazda_mx5_cup", "MrGrinder", "7", "01:37.1050", "00:00.2630",
"3",   "", "", "ks_mazda_mx5_cup", "McLarenTim", "9", "01:37.2720", "00:00.4300",
"4",   "", "", "ks_mazda_mx5_cup", "maestro", "8", "01:37.5420", "00:00.7000",
"5",   "", "", "ks_mazda_mx5_cup", "gunciz", "9", "01:37.5730", "00:00.7310",
"6",   "", "", "ks_mazda_mx5_cup", "NihonTiger", "9", "01:37.7930", "00:00.9510",
"7",   "", "", "ks_mazda_mx5_cup", "PhotonBurst", "9", "01:37.7950", "00:00.9530",
"8",   "", "", "ks_mazda_mx5_cup", "Salzeder", "9", "01:37.9240", "00:01.0820",
"3 ", ks_mazda_mx5_cup, no,"0", "01:37.5730", "44.8150", "21.5960", "31.1620",  "F:H - R:H",     
"4 ", ks_mazda_mx5_cup, no,"0", "02:08.8490", "74.3550", "21.6170", "32.8770",  "F:H - R:H",     
"5 ", ks_mazda_mx5_cup, no,"0", "01:39.2550", "44.9710", "21.6000", "32.6840",  "F:H - R:H",     
"6 ", ks_mazda_mx5_cup, no,"0", "01:42.1320", "45.2870", "22.7350", "34.1100",  "F:H - R:H",     
"7 ", ks_mazda_mx5_cup, no,"0", "02:13.2040", "80.3060", "21.7530", "31.1450",  "F:H - R:H",     
"8 ", ks_mazda_mx5_cup, no,"0", "01:37.7950", "44.8300", "21.6310", "31.3340",  "F:H - R:H",     
"9 ", ks_mazda_mx5_cup, no,"0", "01:37.7860", "44.9600", "21.7810", "31.0450",  "F:H - R:H",     
Average,,,"01:46.9470", "53.2842", "21.7907", "31.8721"
Best possible,,, "01:37.4560", "44.8150", "21.5960", "31.0450"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"NihonTiger"
"1 ", ks_mazda_mx5_cup, no,"0", "02:06.2080", "72.1410", "22.2570", "31.8100",  "F:H - R:H",     
"2 ", ks_mazda_mx5_cup, no,"0", "01:39.2130", "45.4420", "22.0460", "31.7250",  "F:H - R:H",     
"3 ", ks_mazda_mx5_cup, no,"0", "01:43.5400", "46.2240", "25.8660", "31.4500",  "F:H - R:H",     
"4 ", ks_mazda_mx5_cup, no,"0", "01:38.6680", "45.2350", "22.0680", "31.3650",  "F:H - R:H",     
"5 ", ks_mazda_mx5_cup, no,"0", "01:38.0470", "45.0230", "21.7350", "31.2890",  "F:H - R:H",     
"6 ", ks_mazda_mx5_cup, no,"0", "01:41.9760", "45.8830", "22.7840", "33.3090",  "F:H - R:H",     
"7 ", ks_mazda_mx5_cup, no,"0", "01:37.7930", "44.7920", "21.8260", "31.1750",  "F:H - R:H",     
"8 ", ks_mazda_mx5_cup, no,"0", "01:44.8160", "44.6880", "27.8810", "32.2470",  "F:H - R:H",     
"9 ", ks_mazda_mx5_cup, no,"0", "01:37.8420", "44.9400", "21.7930", "31.1090",  "F:H - R:H",     
Average,,,"01:43.1226", "48.2631", "23.1396", "31.7199"
Best possible,,, "01:37.5320", "44.6880", "21.7350", "31.1090"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"PhotonBurst"
"1 ", ks_mazda_mx5_cup, no,"0", "01:47.2280", "54.2270", "21.6900", "31.3110",  "F:H - R:H",     
"2 ", ks_mazda_mx5_cup, no,"0", "01:43.5830", "46.1630", "26.0550", "31.3650",  "F:H - R:H",     
"3 ", ks_mazda_mx5_cup, no,"0", "01:38.3010", "44.9040", "22.0040", "31.3930",  "F:H - R:H",     
"4 ", ks_mazda_mx5_cup, no,"0", "02:47.3320", "112.5450", "23.5880", "31.1990",  "F:H - R:H",     
"5 ", ks_mazda_mx5_cup, no,"0", "01:38.0060", "44.7850", "21.7310", "31.4900",  "F:H - R:H",     
"6 ", ks_mazda_mx5_cup, no,"0", "01:38.1250", "45.0840", "21.6630", "31.3780",  "F:H - R:H",     
"7 ", ks_mazda_mx5_cup, no,"0", "01:39.0820", "45.7750", "22.0410", "31.2660",  "F:H - R:H",     
"8 ", ks_mazda_mx5_cup, no,"0", "01:37.8670", "45.1760", "21.6320", "31.0590",  "F:H - R:H",     
"9 ", ks_mazda_mx5_cup, no,"0", "01:37.7950", "44.9110", "21.7850", "31.0990",  "F:H - R:H",     
Average,,,"01:47.4798", "53.7300", "22.4654", "31.2844"
Best possible,,, "01:37.4760", "44.7850", "21.6320", "31.0590"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"Salzeder"
"1 ", ks_mazda_mx5_cup, no,"0", "02:10.1640", "76.2630", "22.1710", "31.7300",  "F:H - R:H",     
"2 ", ks_mazda_mx5_cup, no,"0", "01:37.9240", "44.9770", "21.8020", "31.1450",  "F:H - R:H",     
"3 ", ks_mazda_mx5_cup, no,"0", "01:38.7080", "45.4420", "21.9560", "31.3100",  "F:H - R:H",     
"4 ", ks_mazda_mx5_cup, no,"0", "02:00.6290", "44.9440", "23.8460", "51.8390",  "F:H - R:H",     
"5 ", ks_mazda_mx5_cup, no,"0", "01:38.6610", "45.2720", "21.9880", "31.4010",  "F:H - R:H",     
