'+++++++++++++++++++++
Practice
'+++++++++++++++++++++

Game:, "Assetto Corsa"
Session:, "Practice"
Track:, "zolder, zolder2017online_prc"
"
Best lap, "McLarenTim (01:25.1280)"
Lasted laps, "5"
Host, "Unknown"



Practice result
'======================
Pos,   Class, Team, Vehicle, Driver, Laps, Best lap, Gap
"1",   "", "Timberwolves Racing", "urd_t5_maures_2018", "McLarenTim", "3", "01:25.1280", "-",
"2",   "", "", "urd_t5_bayro_2018", "JEMknight657", "5", "01:26.0720", "00:00.9440",
"3",   "", "Timberwolves Racing", "urd_t5_maures_2018", "PhotonBurst", "4", "01:26.1380", "00:01.0100",
"4",   "", "", "urd_t5_aura_2018", "Waffles", "5", "01:26.5740", "00:01.4460",
"5",   "", "PRT Gold", "urd_t5_aura_2018", "MrGrinder", "3", "01:26.6030", "00:01.4750",
"6",   "", "PRT Gold", "urd_t5_aura_2018", "gunciz", "2", "01:27.2140", "00:02.0860",
"7",   "", "PRT Black", "urd_t5_aura_2018", "gman197002", "5", "01:27.6830", "00:02.5550",
"NihonTiger"
"1 ", urd_t5_bayro_2018, no,"0", "03:08.2630", "125.2670", "32.4860", "30.5100",  "F:M - R:M",     
"2 ", urd_t5_bayro_2018, no,"0", "01:34.1050", "27.9770", "31.3160", "34.8120",  "F:M - R:M",     
Average,,,"02:21.1840", "76.6220", "31.9010", "32.6610"
Best possible,,, "01:29.8030", "27.9770", "31.3160", "30.5100"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"SBD"
"1 ", urd_t5_bayro_2018, no,"0", "03:47.6160", "122.0270", "32.1670", "73.4220",  "F:M - R:M",     
Average,,,"03:47.6160", "122.0270", "32.1670", "73.4220"
Best possible,,, "03:47.6160", "122.0270", "32.1670", "73.4220"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"SouP"
No laps for this driver

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"007mnbb"
No laps for this driver

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"Broadcast"
No laps for this driver


Practice best laps
'======================
'------------------------
Overall top (20)
'------------------------
Driver, Vehicle, Time, Gap,
"McLarenTim", "urd_t5_maures_2018", "01:25.1280", ""
"JEMknight657", "urd_t5_bayro_2018", "01:26.0720", "0.944"
"PhotonBurst", "urd_t5_maures_2018", "01:26.1380", "1.01"
"JEMknight657", "urd_t5_bayro_2018", "01:26.2040", "1.076"
"JEMknight657", "urd_t5_bayro_2018", "01:26.3840", "1.256"
"Waffles", "urd_t5_aura_2018", "01:26.5740", "1.446"
"MrGrinder", "urd_t5_aura_2018", "01:26.6030", "1.475"
"gunciz", "urd_t5_aura_2018", "01:27.2140", "2.086"
"gman197002", "urd_t5_aura_2018", "01:27.6830", "2.555"
"NotJames", "urd_t5_bayro_2018", "01:27.7010", "2.573"
"Waffles", "urd_t5_aura_2018", "01:27.9230", "2.795"
"Waffles", "urd_t5_aura_2018", "01:28.3790", "3.251"
"Viperion_NZ", "urd_t5_aura_2018", "01:28.5570", "3.429"
"Viperion_NZ", "urd_t5_aura_2018", "01:28.6720", "3.544"
"bacsi97", "urd_t5_bayro_2018", "01:28.6960", "3.568"
"JEMknight657", "urd_t5_bayro_2018", "01:28.7440", "3.616"
"Waffles", "urd_t5_aura_2018", "01:28.9170", "3.789"
"gman197002", "urd_t5_aura_2018", "01:29.0590", "3.931"
"Viperion_NZ", "urd_t5_aura_2018", "01:29.3850", "4.257"
"Trempale", "urd_t5_bayro_2018", "01:30.0720", "4.944"


'------------------------
Per driver
'------------------------
Driver, Vehicle, Time, Gap,
"McLarenTim", "urd_t5_maures_2018", "01:25.1280", ""
"JEMknight657", "urd_t5_bayro_2018", "01:26.0720", "0.944"
"PhotonBurst", "urd_t5_maures_2018", "01:26.1380", "1.01"
"Waffles", "urd_t5_aura_2018", "01:26.5740", "1.446"
"MrGrinder", "urd_t5_aura_2018", "01:26.6030", "1.475"
"gunciz", "urd_t5_aura_2018", "01:27.2140", "2.086"
"gman197002", "urd_t5_aura_2018", "01:27.6830", "2.555"
"NotJames", "urd_t5_bayro_2018", "01:27.7010", "2.573"
"Viperion_NZ", "urd_t5_aura_2018", "01:28.5570", "3.429"
"bacsi97", "urd_t5_bayro_2018", "01:28.6960", "3.568"
"Trempale", "urd_t5_bayro_2018", "01:30.0720", "4.944"
"marzen224", "urd_t5_bayro_2018", "01:30.7110", "5.583"
"NihonTiger", "urd_t5_bayro_2018", "01:34.1050", "8.977"
"SBD", "urd_t5_bayro_2018", "03:47.6160", "142.488"


Practice consistency
'======================
Driver, Vehicle, Consistency,
"Viperion_NZ", "urd_t5_aura_2018", "99.47%  0.4715",
"JEMknight657", "urd_t5_bayro_2018", "98.79%  1.0387",
"Waffles", "urd_t5_aura_2018", "97.88%  1.8323",
"NotJames", "urd_t5_bayro_2018", "96.64%  2.945",
"Trempale", "urd_t5_bayro_2018", "94.46%  4.9885",
"MrGrinder", "urd_t5_aura_2018", "93.76%  5.405",
"gman197002", "urd_t5_aura_2018", "93.66%  5.556",
"PhotonBurst", "urd_t5_maures_2018", "93.50%  5.597",
"SBD", "urd_t5_bayro_2018", "-",
"007mnbb", "urd_t5_bayro_2018", "-",
"SouP", "urd_t5_bayro_2018", "-",
"McLarenTim", "urd_t5_maures_2018", "-",
"NihonTiger", "urd_t5_bayro_2018", "-",
